조사년도,학제명,시도명,층화학교ID,70%추출,학제유형명,휴직여자수석교사수,보직교사수,여자보직교사수,휴직보직교사수,휴직여자보직교사수,교사수,여자교사수,휴직교사수,휴직여자교사수,전문상담교사수,여자전문상담교사수,휴직전문상담교사수,휴직여자전문상담교사수,사서교사수,휴직수석교사수,여자수석교사수,수석교사수,휴직여자교감수,휴직교감수,여자교감수,교감수,휴직여자교장수,휴직교장수,여자교장수,교장수,유초중등교원_여자교원수,유초중등교원_교원수,여자사서교사수,휴직사서교사수,여자시간강사수,시간강사수,여자기간제교사수,기간제교사수,휴직여자영양교사수,휴직영양교사수,여자영양교사수,영양교사수,휴직여자보건교사수,휴직보건교사수,여자보건교사수,보건교사수,휴직여자실기교사수,휴직실기교사수,여자실기교사수,실기교사수,휴직여자사서교사수
2021,초등학교,경기,1148986067,Y,초등학교,0,0,0,0,0,22,19,3,3,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,1,23,27,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
2021,유치원,경기,1151539705,Y,유치원,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,초등학교,경기,1157309416,Y,초등학교,0,0,0,0,0,28,24,3,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,29,33,0,0,0,0,0,0,0,0,1,1,0,0,2,2,0,0,0,0,0
2021,초등학교,경기,1159940242,Y,초등학교,0,0,0,0,0,41,36,5,5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,40,45,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0
2021,일반중학교,경기,1163170798,Y,중학교,0,0,0,0,0,35,24,2,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,29,41,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0
2021,초등학교,경기,1163257645,Y,초등학교,0,0,0,0,0,6,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,초등학교,경기,1164344781,Y,초등학교,0,0,0,0,0,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,6,10,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
2021,유치원,경기,1168744321,Y,유치원,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,유치원,경기,1172665514,Y,유치원,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,일반중학교,경기,1173251126,Y,중학교,0,0,0,0,0,69,47,4,4,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,52,75,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0
