정책단위사업,정책단위사업.1,합계금액,지역명
,학교기관운영,121915530.0,대전
,시설 장비 유지,89235660.0,대전
,학교운영 협력,764700.0,대전
학교시설 확충,학교시설 확충,0.0,대전
,시설확충 및 개선,0.0,대전
학교 재무활동,학교 재무활동,742730.0,대전
,반환금,742730.0,대전
,예비비,0.0,대전
세출합계,세출합계,1308110580.0,대전
정책사업,단위사업,0.0,강원
인적자원 운용,인적자원 운용,20818160.0,강원
,교직원보수,0.0,강원
,기타 교직원 보수,13880860.0,강원
,교직원 복지 및 역량강화,6937300.0,강원
학생복지/교육격차 해소,학생복지/교육격차 해소,437360870.0,강원
,급식 관리,355134260.0,강원
,기숙사 관리,0.0,강원
,보건관리,28529040.0,강원
,교육격차 해소,1625000.0,강원
,학생복지,52072570.0,강원
기본적 교육활동,기본적 교육활동,425519540.0,강원
,교과 활동,357864700.0,강원
,창의적 체험활동,63653430.0,강원
,자유학기(년) 활동,4001410.0,강원
선택적 교육활동,선택적 교육활동,265452980.0,강원
,방과후학교 운영,195410560.0,강원
,직업교육,0.0,강원
,국제교육,0.0,강원
,독서활동,27009950.0,강원
,교기육성,850000.0,강원
,기타 선택적 교육활동,42182470.0,강원
교육활동 지원,교육활동 지원,253426310.0,강원
,교무업무 운영,14419090.0,강원
,생활지도 운영,29242080.0,강원
,연구학교 운영,13992610.0,강원
,학습지원실 운영,35425530.0,강원
,교육여건 개선,160347000.0,강원
학교 일반운영,학교 일반운영,399798400.0,강원
,학교기관운영,147344170.0,강원
,시설 장비 유지,245181750.0,강원
,학교운영 협력,7272480.0,강원
학교시설 확충,학교시설 확충,84349000.0,강원
,시설확충 및 개선,84349000.0,강원
학교 재무활동,학교 재무활동,67179240.0,강원
,반환금,67179240.0,강원
,예비비,0.0,강원
세출합계,세출합계,1953904500.0,강원
정책사업,단위사업,0.0,대구
인적자원 운용,인적자원 운용,31508770.0,대구
,교직원보수,0.0,대구
,기타 교직원 보수,23789730.0,대구
,교직원 복지 및 역량강화,7719040.0,대구
학생복지/교육격차 해소,학생복지/교육격차 해소,385045390.0,대구
,급식 관리,344161510.0,대구
,기숙사 관리,0.0,대구
,보건관리,33543880.0,대구
,교육격차 해소,0.0,대구
,학생복지,7340000.0,대구
기본적 교육활동,기본적 교육활동,229400592.0,대구
,교과 활동,197221452.0,대구
,창의적 체험활동,32179140.0,대구
,자유학기(년) 활동,0.0,대구
선택적 교육활동,선택적 교육활동,280817850.0,대구
,방과후학교 운영,246851430.0,대구
,직업교육,0.0,대구
,국제교육,0.0,대구
,독서활동,12447640.0,대구
,교기육성,21518780.0,대구
,기타 선택적 교육활동,0.0,대구
교육활동 지원,교육활동 지원,419216110.0,대구
