공시년도,개방ID,학교명,학교급명,시도교육청명,공시차수,동아리_자원봉사자및외부강사수,동아리활동_학교수,동아리활동_참여학생수,동아리참여교사수,동아리수
2009,1199533820,동산중학교,중학교,강원특별자치도교육청,2,0,1,0,0,0
2009,1199864268,부천일신중학교,중학교,경기도교육청,2,0,1,98,5,5
2009,1200247824,용남초등학교,초등학교,경상남도교육청,2,0,1,260,9,4
2009,1201413512,신곡초등학교,초등학교,부산광역시교육청,2,0,1,750,36,36
2009,1201938152,영광대마중학교,중학교,전라남도교육청,2,0,1,0,0,0
2009,1202087283,남춘천초등학교,초등학교,강원특별자치도교육청,2,0,1,169,9,4
2009,1202104985,구자곡초등학교,초등학교,충청남도교육청,2,0,1,24,1,2
2009,1203245460,낭성초등학교,초등학교,충청북도교육청,2,0,1,23,2,2
2009,1204909503,대이초등학교,초등학교,경상북도교육청,2,0,1,273,16,4
2009,1208260655,서광초등학교,초등학교,제주특별자치도교육청,2,0,1,38,1,1
2009,1208456993,우성초등학교,초등학교,충청남도교육청,2,0,1,12,1,1
2009,1210204720,경기북과학고등학교,고등학교,경기도교육청,2,0,1,364,20,18
2009,1210704684,석보중학교,중학교,경상북도교육청,2,0,1,20,1,1
2009,1211089313,가평초등학교,초등학교,충청북도교육청,2,2,1,56,1,3
2009,1212165415,대전노은중학교,중학교,대전광역시교육청,2,0,1,75,4,4
2009,1212250709,동두천초등학교,초등학교,경기도교육청,2,0,1,36,3,1
2009,1212503373,단촌초등학교,초등학교,경상북도교육청,2,0,1,4,1,1
2009,1213074147,전북제일고등학교,고등학교,전북특별자치도교육청,2,0,1,248,9,9
2009,1213222742,성요셉여자고등학교,고등학교,전라남도교육청,2,0,1,80,6,6
2009,1213686227,월평중학교,중학교,울산광역시교육청,2,0,1,31,2,2
2009,1214202284,통영여자고등학교,고등학교,경상남도교육청,2,0,1,461,21,20
2009,1214494109,국제고등학교,고등학교,광주광역시교육청,2,0,1,429,15,15
2009,1214990854,함태초등학교,초등학교,강원특별자치도교육청,2,0,1,59,2,2
2009,1215053081,보문중학교,중학교,대전광역시교육청,2,0,1,159,3,2
2009,1215336859,성산초등학교,초등학교,경기도교육청,2,6,1,211,15,11
2009,1216025650,유현초등학교,초등학교,강원특별자치도교육청,2,0,1,15,1,1
2009,1218236863,문경여자중학교,중학교,경상북도교육청,2,0,1,241,2,3
2009,1218364000,유촌초등학교,초등학교,강원특별자치도교육청,2,0,1,34,3,7
2009,1219255566,형곡고등학교,고등학교,경상북도교육청,2,2,1,223,15,15
2009,1219323694,영양초등학교,초등학교,경상북도교육청,2,0,1,55,1,1
2009,1219526469,백초초등학교,초등학교,전라남도교육청,2,0,1,0,0,0
2009,1220113873,만경여자중학교,중학교,전북특별자치도교육청,2,0,1,6,1,1
2009,1220712006,상장초등학교,초등학교,강원특별자치도교육청,2,0,1,106,6,4
2009,1220795691,수안보초등학교,초등학교,충청북도교육청,2,0,1,0,0,0
2009,1220915853,경기기계공업고등학교,고등학교,서울특별시교육청,2,3,1,168,17,13
2009,1221081614,동지중학교,중학교,경상북도교육청,2,0,1,20,1,1
2009,1222024679,봉일천고등학교,고등학교,경기도교육청,2,32,1,707,45,45
2009,1223826050,예문여자고등학교,고등학교,부산광역시교육청,2,8,1,155,13,6
2009,1224613547,명현중학교,중학교,인천광역시교육청,2,0,1,321,18,14
2009,1225647270,유촌초등학교,초등학교,광주광역시교육청,2,0,1,95,5,5
2009,1227148234,설화고등학교,고등학교,충청남도교육청,2,0,1,51,2,2
2009,1227915346,죽리초등학교,초등학교,충청북도교육청,2,0,1,19,1,1
2009,1229358375,광주광남중학교,중학교,경기도교육청,2,0,1,29,3,4
2009,1229398608,전주기전중학교,중학교,전북특별자치도교육청,2,0,1,0,0,0
