"공시년도","학교급명","시도교육청명","층화학교ID","70%추출","공시학년명","성별명","5등급학생수","4등급학생수","3등급학생수","2등급학생수","1등급학생수"
"2021",고등학교,경기도교육청,"9111230061",Y,"1학년",여자,0,18,53,35,4
"2021",고등학교,경기도교육청,"9221244559",Y,"1학년",여자,0,1,0,0,0
"2021",고등학교,경기도교육청,"9297712856",Y,"1학년",여자,88,78,0,0,0
"2021",고등학교,경기도교육청,"9314898037",Y,"1학년",여자,5,61,51,6,0
"2021",고등학교,경기도교육청,"9503860356",Y,"1학년",여자,0,10,62,73,4
"2021",고등학교,경기도교육청,"9537681002",Y,"1학년",여자,2,17,103,87,3
"2021",고등학교,경기도교육청,"9590276243",Y,"1학년",여자,2,20,77,48,1
"2021",고등학교,경기도교육청,"9842406446",Y,"1학년",여자,0,2,12,19,4
"2021",고등학교,경기도교육청,"9876719467",Y,"1학년",여자,0,18,32,19,1
"2021",고등학교,경기도교육청,"9921957523",Y,"1학년",여자,3,30,70,23,0
"2021",중학교,경기도교육청,"1317623614",Y,"1학년",여자,0,1,6,4,0
"2021",중학교,경기도교육청,"1595854083",Y,"1학년",여자,0,6,32,41,13
"2021",중학교,경기도교육청,"1899780135",Y,"1학년",여자,0,8,50,53,6
"2021",중학교,경기도교육청,"2308953919",Y,"1학년",여자,0,0,3,1,0
"2021",중학교,경기도교육청,"2320417491",Y,"1학년",여자,7,39,70,50,1
"2021",중학교,경기도교육청,"2556050433",Y,"1학년",여자,1,23,79,59,3
"2021",중학교,경기도교육청,"2876135175",Y,"1학년",여자,0,10,40,34,3
"2021",중학교,경기도교육청,"3240607741",Y,"1학년",여자,0,2,1,3,0
"2021",중학교,경기도교육청,"3467102586",Y,"1학년",여자,6,35,55,13,0
"2021",중학교,경기도교육청,"3752773954",Y,"1학년",여자,0,2,14,13,0
"2021",중학교,경기도교육청,"3961405348",Y,"1학년",여자,3,9,48,36,10
"2021",중학교,경기도교육청,"4221743560",Y,"1학년",여자,0,5,17,9,0
"2021",중학교,경기도교육청,"4541792871",Y,"1학년",여자,0,3,17,7,1
"2021",중학교,경기도교육청,"4995968833",Y,"1학년",여자,0,1,3,1,0
"2021",중학교,경기도교육청,"5022338801",Y,"1학년",여자,0,1,5,3,0
"2021",중학교,경기도교육청,"5149309922",Y,"1학년",여자,87,10,2,0,0
"2021",중학교,경기도교육청,"5168753304",Y,"1학년",여자,2,13,32,15,0
"2021",중학교,경기도교육청,"5566472023",Y,"1학년",여자,0,3,27,51,7
"2021",중학교,경기도교육청,"5595312046",Y,"1학년",여자,0,0,5,0,0
"2021",중학교,경기도교육청,"5679455168",Y,"1학년",여자,0,2,14,12,1
"2021",중학교,경기도교육청,"5993599851",Y,"1학년",여자,0,6,18,25,4
"2021",중학교,경기도교육청,"6163690235",Y,"1학년",여자,1,4,25,28,1
"2021",중학교,경기도교육청,"6179697859",Y,"1학년",여자,0,1,5,1,0
"2021",중학교,경기도교육청,"6461573080",Y,"1학년",여자,0,0,3,4,1
