SCHUL_CRSE_SC_VALUE_NM,FOND_SC_CODE,SCHUL_KND_SC_CODE,ADRCD_NM,SCHUL_CRSE_SC_VALUE,JU_ORG_NM,ATPT_OFCDC_ORG_NM,JU_ORG_CODE,AMT8,PBAN_EXCP_YN,AMT7,FAS_DTN_SC_CODE,PBAN_REV_EX_SC_CODE,AMT6,AMT5,AMT4,AMT3,AMT2,SCHUL_CODE,AMT1,YESAN_PER_HEAD,ATPT_OFCDC_ORG_CODE,LCTN_SC_CODE,HS_KND_SC_NM,BNHH_YN,SCHUL_NM
고,사립,4,서울특별시 강남구,4.0,서울특별시교육청,서울특별시교육청,B100000001,2000000,N,0,복식부기,예산세출,359763000,230898000,18000000,88195000,114424000,S010000514,4558767000,7545009.8,B100000001,1,일반고등학교,N,은광여자고등학교
고,사립,4,서울특별시 은평구,4.0,서울특별시교육청,서울특별시교육청,B100000001,75000000,N,60000000,복식부기,예산세출,341750000,139645000,14500000,26700000,62283000,S010000515,5926745000,16290742.6,B100000001,1,특성화고등학교,N,은평메디텍고등학교
고,사립,4,서울특별시 중구,4.0,서울특별시교육청,서울특별시교육청,B100000001,0,N,227000000,복식부기,예산세출,1123191000,313767000,149181000,254299000,2819796000,S010000516,7004679000,10340793.9,B100000001,1,자율고등학교,N,이화여자고등학교
,사립,4,서울특별시 서대문구,,서울특별시교육청,서울특별시교육청,B100000001,0,N,620000000,복식부기,예산세출,723036000,223595000,85260000,75820000,733064000,S010000517,6019225000,7765567.8,B100000001,1,자율고등학교,N,이화여자대학교사범대학부속이화금란고등학교
고,사립,4,서울특별시 서대문구,4.0,서울특별시교육청,서울특별시교육청,B100000001,0,N,38691000,복식부기,예산세출,507603000,115550000,675750000,60615000,264978000,S010000518,4367760000,12208394.7,B100000001,1,일반고등학교,N,인창고등학교
,사립,4,서울특별시 송파구,,서울특별시교육청,서울특별시교육청,B100000001,10000000,N,9500000,복식부기,예산세출,511387000,211783000,14000000,38455000,214876000,S010000524,6262617000,8264338.6,B100000001,1,일반고등학교,N,잠실여자고등학교
고,사립,4,서울특별시 중구,4.0,서울특별시교육청,서울특별시교육청,B100000001,0,N,52044000,복식부기,예산세출,321113000,162367000,45300000,62250000,32346000,S010000525,3333556000,11044011.0,B100000001,1,일반고등학교,N,장충고등학교
고,사립,4,서울특별시 영등포구,4.0,서울특별시교육청,서울특별시교육청,B100000001,1000000,N,0,복식부기,예산세출,702703000,94030000,369700000,27000000,516706000,S010000526,3588915000,9943816.1,B100000001,1,일반고등학교,N,장훈고등학교
고,사립,4,서울특별시 노원구,4.0,서울특별시교육청,서울특별시교육청,B100000001,6000000,N,20000000,복식부기,예산세출,431314000,87320000,108772000,200940000,239121000,S010000527,5941193000,8132554.9,B100000001,1,일반고등학교,N,재현고등학교
고,사립,4,서울특별시 송파구,4.0,서울특별시교육청,서울특별시교육청,B100000001,0,N,52660000,복식부기,예산세출,517704000,235088000,42417000,99297000,130314000,S010000528,5956156000,7729270.3,B100000001,1,일반고등학교,N,정신여자고등학교
