SCHUL_CRSE_SC_VALUE_NM,FOND_SC_CODE,SCHUL_KND_SC_CODE,ADRCD_NM,SCHUL_CRSE_SC_VALUE,JU_ORG_NM,ATPT_OFCDC_ORG_NM,JU_ORG_CODE,PBAN_EXCP_YN,FAS_DTN_SC_CODE,PBAN_REV_EX_SC_CODE,AMT6,AMT5,AMT4,AMT3,AMT2,SCHUL_CODE,AMT1,ATPT_OFCDC_ORG_CODE,LCTN_SC_CODE,HS_KND_SC_NM,BNHH_YN,SCHUL_NM,PBAN_EXCP_RSN
고,사립,4,서울특별시 강남구,4.0,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,예산세입,20000000,3950000,0,56430000,20000000,S010000514,5584494000,B100000001,1,일반고등학교,N,은광여자고등학교,
고,사립,4,서울특별시 은평구,4.0,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,예산세입,78000000,23210000,0,3000,22000000,S010000515,5859055000,B100000001,1,특성화고등학교,N,은평메디텍고등학교,
고,사립,4,서울특별시 중구,4.0,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,예산세입,25000000,229440000,0,10624060000,1500000000,S010000516,0,B100000001,1,자율고등학교,N,이화여자고등학교,
,사립,4,서울특별시 서대문구,,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,예산세입,230000000,65730000,0,7899784000,542363000,S010000517,0,B100000001,1,자율고등학교,N,이화여자대학교사범대학부속이화금란고등학교,
고,사립,4,서울특별시 서대문구,4.0,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,예산세입,20000000,46370000,0,652140000,85200000,S010000518,5427444000,B100000001,1,일반고등학교,N,인창고등학교,
,사립,4,서울특별시 송파구,,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,예산세입,40000000,20330000,0,99337000,45000000,S010000524,7475882000,B100000001,1,일반고등학교,N,잠실여자고등학교,
고,사립,4,서울특별시 중구,4.0,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,예산세입,20000000,28920000,0,0,165000000,S010000525,3959696000,B100000001,1,일반고등학교,N,장충고등학교,
고,사립,4,서울특별시 영등포구,4.0,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,예산세입,50000000,25350000,0,1564084000,261084000,S010000526,3290822000,B100000001,1,일반고등학교,N,장훈고등학교,
고,사립,4,서울특별시 노원구,4.0,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,예산세입,40000000,9550000,0,186508000,20000000,S010000527,7032900000,B100000001,1,일반고등학교,N,재현고등학교,
고,사립,4,서울특별시 송파구,4.0,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,예산세입,40000000,39979000,0,0,140677000,S010000528,6814502000,B100000001,1,일반고등학교,N,정신여자고등학교,
고,사립,4,서울특별시 도봉구,4.0,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,예산세입,0,0,0,0,0,S010000529,6264078000,B100000001,1,일반고등학교,N,정의여자고등학교,
,사립,4,서울특별시 강남구,,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,예산세입,300000000,84430000,0,7729188000,3896780000,S010000531,0,B100000001,1,자율고등학교,N,중동고등학교,
,사립,4,서울특별시 강남구,,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,예산세입,30000000,6424000,0,0,489135000,S010000532,7494990000,B100000001,1,일반고등학교,N,중산고등학교,
,사립,4,서울특별시 종로구,,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,예산세입,50000000,372315000,0,7297832000,1012457000,S010000533,0,B100000001,1,자율고등학교,N,중앙고등학교,
,사립,4,서울특별시 강남구,,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,예산세입,34917000,101476000,0,1162477000,123180000,S010000534,6971532000,B100000001,1,일반고등학교,N,중앙대학교사범대학부속고등학교,
,사립,4,서울특별시 서대문구,,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,예산세입,23000000,28529000,0,0,1830000000,S010000535,4770471000,B100000001,1,일반고등학교,N,중앙여자고등학교,
,사립,4,서울특별시 양천구,,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,예산세입,0,15100000,0,0,6000000,S010000537,8574907000,B100000001,1,일반고등학교,N,진명여자고등학교,
,사립,4,서울특별시 강남구,,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,예산세입,109000000,29390000,0,123018000,711575000,S010000538,6661128000,B100000001,1,일반고등학교,N,진선여자고등학교,
