SCHUL_CRSE_SC_VALUE_NM,FOND_SC_CODE,SCHUL_KND_SC_CODE,ADRCD_NM,SCHUL_CRSE_SC_VALUE,JU_ORG_NM,ATPT_OFCDC_ORG_NM,JU_ORG_CODE,AMT8,PBAN_EXCP_YN,AMT7,FAS_DTN_SC_CODE,PBAN_REV_EX_SC_CODE,AMT6,AMT5,AMT4,AMT3,AMT2,SCHUL_CODE,AMT1,YESAN_PER_HEAD,ATPT_OFCDC_ORG_CODE,LCTN_SC_CODE,HS_KND_SC_NM,BNHH_YN,SCHUL_NM,PBAN_EXCP_RSN
,사립,4,경상남도 창원시 성산구,,경상남도교육청,경상남도교육청,S100000001,8300000,N,99500000,복식부기,예산세출,364718000,188647000,172436000,214029000,1598856000,S160000688,5220836000,15335910.3,S100000001,17,일반고등학교,N,창원경일고등학교,
고,사립,4,경상남도 창원시 의창구,4.0,경상남도교육청,경상남도교육청,S100000001,27015000,N,0,복식부기,예산세출,317421000,193872000,211852000,194962000,1476725000,S160000689,5161482000,12113944.1,S100000001,17,일반고등학교,N,창원고등학교,
,사립,4,경상남도 창원시 의창구,,경상남도교육청,경상남도교육청,S100000001,7300000,N,0,복식부기,예산세출,761491000,433557000,12567000,156722000,889208000,S160000690,5184870000,16769628.4,S100000001,17,특성화고등학교,N,창원공업고등학교,
,사립,4,경상남도 창원시 성산구,,경상남도교육청,경상남도교육청,S100000001,10000000,N,0,복식부기,예산세출,307876000,155876000,298700000,308129000,1508184000,S160000692,5532987000,15324060.4,S100000001,17,일반고등학교,N,창원남고등학교,
고,사립,4,경상남도 창원시 의창구,4.0,경상남도교육청,경상남도교육청,S100000001,9000000,N,0,복식부기,예산세출,347884000,149103000,274700000,136500000,1803659000,S160000694,4245435000,14452865.1,S100000001,17,일반고등학교,N,창원대산고등학교,
고,사립,4,경상남도 창원시 성산구,4.0,경상남도교육청,경상남도교육청,S100000001,8000000,N,84250000,복식부기,예산세출,261369000,218164000,200652000,235677000,1436467000,S160000696,4724832000,12555886.2,S100000001,17,일반고등학교,N,창원문성고등학교,
,사립,4,경상남도 창원시 의창구,,경상남도교육청,경상남도교육청,S100000001,7000000,N,10000000,복식부기,예산세출,374585000,197933000,93889000,263545000,1020713000,S160000700,4678750000,11639956.2,S100000001,17,특성화고등학교,N,경남관광고등학교,
고,사립,4,경상남도 고성군,4.0,경상남도교육청,경상남도교육청,S100000001,8029000,N,0,복식부기,예산세출,256132000,124619000,67029000,108275000,895470000,S160000703,2511348000,14387326.1,S100000001,17,일반고등학교,N,철성고등학교,
,사립,4,경상남도 통영시,,경상남도교육청,경상남도교육청,S100000001,10000000,N,0,복식부기,예산세출,322697000,95305000,14800000,103768000,1742533000,S160000706,3243753000,11623647.1,S100000001,17,일반고등학교,N,충렬여자고등학교,
고,사립,4,경상남도 함안군,4.0,경상남도교육청,경상남도교육청,S100000001,5000000,N,40000000,복식부기,예산세출,239376000,90930000,317085000,89065000,1691434000,S160000710,3092379000,15247312.3,S100000001,17,일반고등학교,N,칠원고등학교,
고,사립,4,경상남도 통영시,4.0,경상남도교육청,경상남도교육청,S100000001,10000000,N,0,복식부기,예산세출,373026000,124827000,255910000,255038000,2697440000,S160000717,4849290000,10332365.5,S100000001,17,일반고등학교,N,동원고등학교,
고,사립,4,경상남도 하동군,4.0,경상남도교육청,경상남도교육청,S100000001,1000000,N,0,복식부기,예산세출,171736000,121677000,35000000,48830000,783241000,S160000719,1780035000,22980617.2,S100000001,17,일반고등학교,N,하동여자고등학교,
,사립,4,경상남도 창원시 마산회원구,,경상남도교육청,경상남도교육청,S100000001,10000000,N,946655000,복식부기,예산세출,468266000,204240000,69810000,368199000,1221270000,S160000723,6668966000,16138421.4,S100000001,17,특성화고등학교,N,한일전산여자고등학교,
고,사립,4,경상남도 함안군,4.0,경상남도교육청,경상남도교육청,S100000001,4600000,N,0,복식부기,예산세출,191230000,92676000,142766000,83547000,482807000,S160000725,1698908000,23047299.1,S100000001,17,특성화고등학교,N,경남로봇고등학교,
,사립,4,경상남도 합천군,,경상남도교육청,경상남도교육청,S100000001,3000000,N,5000000,복식부기,예산세출,241679000,66953000,13500000,59914000,848481000,S160000737,1913937000,17513688.9,S100000001,17,일반고등학교,N,합천여자고등학교,
,사립,4,경상남도 거제시,,경상남도교육청,경상남도교육청,S100000001,10000000,N,52000000,복식부기,예산세출,368637000,100245000,10930000,188754000,1776855000,S160000741,5189950000,10515534.2,S100000001,17,일반고등학교,N,해성고등학교,
고,사립,4,경상남도 양산시,4.0,경상남도교육청,경상남도교육청,S100000001,10000000,N,115619000,복식부기,예산세출,333076000,76910000,42100000,169895000,1789623000,S160000747,4482822000,9310404.5,S100000001,17,일반고등학교,N,효암고등학교,
고,사립,4,경상남도 산청군,4.0,경상남도교육청,경상남도교육청,S100000001,3000000,N,32815000,복식부기,예산세출,128571000,119106000,66184000,119522000,725771000,S160003068,1711502000,32656977.5,S100000001,17,특성화고등학교,N,간디고등학교,
,사립,4,경상남도 창원시 성산구,,경상남도교육청,경상남도교육청,S100000001,6520000,N,113040000,복식부기,예산세출,317433000,115411000,103314000,185601000,1168230000,S160003228,3781019000,14924144.3,S100000001,17,일반고등학교,N,창원경일여자고등학교,
,사립,4,경상남도 산청군,,경상남도교육청,경상남도교육청,S100000001,5625000,N,50000000,복식부기,예산세출,89227000,48468000,50227000,26655000,312121000,S160003285,931462000,38815000.0,S100000001,17,특성화고등학교,N,지리산고등학교,
,사립,4,경상남도 창원시 의창구,,경상남도교육청,경상남도교육청,S100000001,7200000,N,290260000,복식부기,예산세출,271425000,109050000,109120000,258317000,2254881000,S160003488,3889532000,14947578.0,S100000001,17,일반고등학교,N,창원성민여자고등학교,
